8.00942,-0.058331
8.02483,-0.051907
8.03768,-0.045216
8.0531,-0.038792
8.07107,-0.032368
8.08904,-0.025944
8.10957,-0.01952
8.13011,-0.013364
8.1532,-0.00694
8.18141,-0.001052
8.21139,0.001168
8.24593,-0.000319
8.27614,-0.004264
8.30939,-0.009885
8.33239,-0.016041
8.35283,-0.022465
8.36815,-0.028888
8.38346,-0.03558
8.39878,-0.042004
8.4141,-0.048428
8.42942,-0.055119
8.44474,-0.061543
8.46005,-0.067967
8.47537,-0.074391
8.49069,-0.081082
8.50601,-0.087506
8.52133,-0.09393
8.53664,-0.100354
8.55452,-0.107046
8.5724,-0.113202
8.60075,-0.120137
8.63378,-0.124979
8.69215,-0.129059
8.73364,-0.125514
8.76186,-0.119358
8.78495,-0.113202
8.80548,-0.106778
8.82345,-0.100354
8.84143,-0.09393
8.8594,-0.087506
8.87481,-0.081082
8.89022,-0.074659
8.90308,-0.067967
8.91849,-0.061543
8.93134,-0.055119
8.94675,-0.048428
8.9596,-0.042004
8.97757,-0.03558
8.99555,-0.029156
9.01352,-0.022732
9.03405,-0.016308
9.05714,-0.010152
9.08024,-0.003728
9.12603,0.001593
9.17244,-0.001319
9.20826,-0.00694
9.23638,-0.012829
9.25938,-0.019253
9.2747,-0.025677
9.29258,-0.0321
9.3079,-0.038524
9.32321,-0.045216
9.33597,-0.05164
9.35129,-0.058064
9.36661,-0.064487
9.38192,-0.071179
9.39724,-0.077603
9.41256,-0.084027
9.42788,-0.090451
9.44576,-0.097142
9.46107,-0.103566
9.47895,-0.10999
9.49939,-0.116414
9.52752,-0.122302
9.56846,-0.12712
9.61289,-0.128847
9.6658,-0.12257
9.68889,-0.116414
9.70943,-0.10999
9.72996,-0.103566
9.74793,-0.09741
9.7659,-0.090718
9.78132,-0.084294
9.79929,-0.077871
9.81214,-0.071447
9.82755,-0.064755
9.8404,-0.058331
9.85325,-0.051907
9.86867,-0.045216
9.88408,-0.038792
9.89949,-0.032368
9.92002,-0.025944
9.938,-0.01952
9.96109,-0.013364
9.98418,-0.00694
